"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"2RJbrLMo","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","2RJbrLMo",1473,349476,6351,0.0181729217456993,"Endothelial cells"
"2uq31ALt","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","2uq31ALt",1750,308814,5344,0.0173049149326132,"Endothelial cells"
"32gGc5XE","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","32gGc5XE",3920,619227,26892,0.0434283388805721,"Ependymal cells"
"3jklHavk","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","3jklHavk",1630,894700,7719,0.00862747289594277,"Fibroblasts"
"3VpyZewo","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","3VpyZewo",2397,1284043,4712,0.00366965903789826,"Fibroblasts"
"4DOtY6wN","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","4DOtY6wN",3387,790188,13170,0.0166669197709912,"Dendritic cells"
"4KPK9KYp","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","4KPK9KYp",2394,624186,5116,0.00819627482833643,"Fibroblasts"
"5icJUuLD","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","5icJUuLD",1850,291052,10375,0.0356465511317565,"B cells"
"6UDH0kef","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","6UDH0kef",2782,1548273,6395,0.00413040852614494,"Fibroblasts"
"6y0lfEgI","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","6y0lfEgI",3001,743334,16552,0.0222672446033681,"Pulmonary alveolar type II cells"
"7cnp523S","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","7cnp523S",1982,446637,16212,0.0362979332209378,"T memory cells"
"8AdLbhyT","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","8AdLbhyT",2510,532988,1436,0.00269424452332886,"Alveolar macrophages"
